BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
salicylate,Xenobiotics,Drug - Topical Agents,C00805,0.6887,0.3745,0.3745,0.3745,0.3745,0.3745,0.7938,1.0063,0.9937,0.3745,0.3745,1.1898,1.1001,1.0651,1.2326,0.7597,1.1975,1.081,1.0612,0.3745,0.3745,0.3745,1.1409,0.6779
sedoheptulose,Carbohydrate,Pentose Metabolism,C02076,1.7529,1.26,1.2474,1.638,1.2912,1.6071,1.0978,2.0298,1.7148,1.5659,1.984,3.3744,2.1361,3.0937,1.5816,1.0279,2.0254,1.8711,1.7394,0.3577,0.3577,0.3577,0.3577,0.3577
serine,Amino Acid,"Glycine, Serine and Threonine Metabolism",C00065,1.1006,1.4223,2.3995,0.5442,2.0762,1.7099,2.3724,0.6998,0.8538,0.818,2.001,2.7451,2.9453,2.5916,4.8372,5.4776,4.3044,3.7157,4.9166,0.1447,0.3373,0.1375,0.3068,0.165
spermidine,Amino Acid,Polyamine Metabolism,C00315,1.8819,8.2916,3.151,1.4098,2.3312,1.5973,1.4372,2.2097,2.9823,1.2038,0.5613,1.1675,0.2875,0.5947,2.829,0.2427,3.7862,4.1614,2.451,0.0782,0.0782,0.0782,0.0782,0.0782
succinate,Energy,TCA Cycle,C00042,1.6882,1.8721,1.3723,1.9021,1.5576,1.3045,1.4291,2.6148,2.371,2.4205,1.6677,2.101,1.9654,2.3655,0.9704,0.7078,1.113,1.1545,0.9082,0.0024,0.0018,0.0033,0.002,0.002
succinylglutamine,Amino Acid,Glutamate Metabolism,,0.4989,0.4776,0.2357,0.6654,0.3833,0.3565,0.4658,1,0.779,0.9903,4.6227,4.4716,4.8857,6.9771,2.8505,2.6434,3.5853,3.2826,3.1854,0.0335,0.0335,0.0335,0.0335,0.0335
sulfate*,Xenobiotics,Chemical,C00059,0.8559,0.6476,0.6047,0.9227,0.766,0.7517,0.9838,0.9959,0.9894,0.9802,0.6934,0.9435,0.701,1.0677,1.0126,1.0804,1.0112,1.018,1.0387,1.1489,1.0944,1.0581,1.1194,1.1128
taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",C00245,0.4852,0.4852,0.4852,0.4852,1.2631,0.4852,0.7021,0.6728,0.4852,0.5885,1.3809,1.4636,1.2912,1.4348,1.0568,0.4852,0.4852,0.547,0.9432,0.4852,0.4852,0.4852,0.4852,0.4852
thiamin (Vitamin B1),Cofactors and Vitamins,Thiamine Metabolism,"DG00125,C00378,D08580",0.6264,0.384,0.4102,0.3797,0.5647,0.3551,0.6787,0.3616,0.8482,0.3503,0.1465,0.2204,0.0683,0.2363,0.0105,0.1003,0.0866,0.0496,0.0556,0.0455,0.0262,0.0513,0.053,0.0575
thioproline,Xenobiotics,Chemical,,0.6761,0.4599,0.3878,1,0.6517,0.1625,0.3497,1.0688,0.822,0.9082,0.393,0.8519,0.2374,0.5385,0.0429,0.0526,0.0534,0.0766,0.0554,0.0246,0.0211,0.0341,0.0379,0.0276
threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,C01620,0.1598,0.4862,1.0127,1.0502,0.8493,0.1598,0.1598,0.1598,0.8682,1.9447,1.5625,0.1598,0.9873,1.077,1.3153,0.1598,0.444,1.3993,1.3536,0.1598,0.1598,0.1598,0.1598,0.1598
threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",C00188,0.2902,0.1185,0.2224,0.1718,0.3537,0.245,0.3329,0.024,0.0808,0.0572,0.6867,0.8979,0.5835,1.0252,1.09,1.3329,1.1969,1.3015,1.165,1.2977,1.1479,1.2249,1.357,1.2927
thymidine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",C00214,1.7248,1.8525,0.9719,1.1037,1.0218,0.3635,0.8768,0.5404,0.7828,1.1076,1.2116,0.3635,1.5626,1.0562,3.0097,1.5675,3.0654,2.6064,3.07,0.3635,0.3635,0.3635,0.3635,0.3635
thymine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",C00178,8.9135,9.153,5.8044,6.7358,7.8119,4.4096,5.175,5.9314,5.7136,5.4444,7.4562,11.8574,10.1303,11.6656,8.279,2.7364,9.8871,10.4265,7.1039,0.1396,0.1396,0.1396,0.1396,0.1396
hydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,C01157,1.9214,1.4216,1,1.7727,4.5763,2.6778,0.4983,2.8645,3.4756,3.3575,8.1252,13.1536,8.1989,11.681,6.93,0.5252,6.1939,5.3079,9.5843,0.0198,0.0198,0.0198,0.0198,0.0198
trans-urocanate,Amino Acid,Histidine Metabolism,C00785,2.6884,2.6611,2.076,2.6618,2.194,3.3161,2.9313,3.1606,3.6111,3.5448,4.5225,3.0097,6.113,8.5597,4.7477,1.2599,4.6618,5.4355,1.8611,0.5802,1.2264,0.5437,1.0282,0.4257
tricarballylate,Energy,TCA Cycle,C19806,0.4502,0.7627,0.7209,0.5805,0.6022,0.4499,0.5737,0.711,0.9851,0.7553,1.1168,3.0626,1.9402,2.6471,0.3142,0.6072,1.6683,1.7685,1.2871,0.3142,0.3142,0.3142,0.3142,0.3546
tryptophan,Amino Acid,Tryptophan Metabolism,C00078,0.9411,0.6648,0.6651,0.865,0.8858,0.6724,0.8904,0.9078,1.0092,0.9523,0.7383,1.0809,0.7378,1.1694,0.7592,1.0334,1.0636,1.081,0.9797,1.0607,0.9696,0.9578,1.0988,0.9937
tyrosine,Amino Acid,Tyrosine Metabolism,C00082,0.9051,0.6464,0.6794,0.8943,0.9352,0.7764,0.9038,0.962,0.9452,0.9148,0.9745,1.0447,0.684,1.1973,1.033,1.1116,1.1867,1.0774,1.0389,1.0897,1.0421,1.0372,1.1187,1.0961
tyrosol,Amino Acid,Tyrosine Metabolism,C06044,0.2023,0.2023,0.2023,0.2023,0.2023,0.2023,0.2023,0.2023,0.2023,0.2023,2.3549,2.5908,1.2709,4.0284,1.4871,0.4833,2.2409,3.1159,1.9608,0.2023,0.2023,0.2023,0.2023,0.2023
uracil,Nucleotide,"Pyrimidine Metabolism, Uracil containing",C00106,1.3309,1.8776,1.1488,2.0323,1.2531,1.6851,2.7598,4.0383,2.6856,2.4388,1.2047,1.4829,0.8191,1.8395,0.9925,0.0481,1.0117,1,0.6334,0.0212,0.0212,0.0212,0.0212,0.0212
uridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",C00299,2.942,0.9681,1.4672,2.0182,2.2114,2.2259,4.4416,1.6931,1.2563,1.9352,0.5146,0.7134,0.4126,0.4616,7.9116,3.757,8.0969,9.3003,7.8179,0.1339,0.1339,0.1339,0.1339,0.1339
valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",C00183,0.9204,0.6519,0.5939,1.0126,0.8696,0.7106,1.0275,1.1414,1.1332,1.1332,0.7084,1.0417,0.7205,1.1255,1.0035,1.1641,1.0479,1.1367,1.0982,1.1198,0.9777,1.019,1.1447,1.0657
xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",C00385,127.5781,186.5378,117.9125,163.7218,116.1743,137.1183,138.7322,249.5383,222.2489,183.4663,150.1268,188.3184,144.8264,225.1841,103.4383,25.1908,111.7984,128.2542,72.5299,0.0979,0.0979,0.0979,0.0979,0.0979
